Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CS3221,CS3221_CA,CS3221_attendance,CS3211,CS3211_CA,CS3211_attendance,CS3233,CS3233_CA,CS3233_attendance,CS3224,CS3224_CA,CS3224_attendance,CS3214,CS3214_CA,CS3214_attendance,CS3222,CS3222_CA,CS3222_attendance,CS3212,CS3212_CA,CS3212_attendance,CS3235,CS3235_CA,CS3235_attendance,6sem_gpa,5th_sem_GPA,6sem_pass/fail
Male,2,Yes,No,Yes,B-,26,1,A+,25,1,B,24,1,A+,26,1,C+,25,1,B+,27,1,A,25,1,A,26,1,3.26,3.528333333,1
Female,more than 6 hours,No,No,Yes,A-,31,1,A-,29,1,C+,32,1,A+,30,1,C+,31,1,B,30,1,B+,31,1,A,30,1,3.13,3.455,1
Female,5,No,No,No,A,22,1,A,23,1,B+,21,1,A+,25,1,A-,24,1,A+,22,1,A,23,1,A,24,1,3.85,3.298333333,1
Female,3,Yes,No,Yes,A-,30,1,A,31,1,C,29,1,A+,32,1,C+,30,1,A,31,1,B+,30,1,A,28,1,3.31,3.125,1
Male,3,No,Yes,No,B,32,1,B+,30,1,B-,29,1,A+,31,1,B-,30,1,B+,32,1,B+,31,1,B+,29,1,3.11,3.143333333,1
Male,1,No,Yes,Yes,C,23,1,A+,22,1,C-,21,1,A-,23,1,C+,22,1,D+,20,1,B+,23,1,B-,24,1,2.4,2.22,0
Male,4,Yes,No,No,B+,32,1,A,30,1,B-,31,1,A+,32,1,C+,31,1,B+,32,1,B,31,1,B+,30,1,3.09,2.971666667,1
Female,4,No,No,Yes,B,29,1,B+,28,1,C,27,1,A+,29,1,C,28,1,A-,30,1,B,29,1,B-,27,1,2.79,3.006666667,1
Male,4,No,No,No,ab,24,0,ab,21,0,ab,22,0,ab,23,0,ab,25,0,ab,22,0,ab,23,0,ab,24,0,0,2.715,0
Male,less than 1 hour,Yes,Yes,No,B+,31,1,A-,30,1,B,31,1,A+,30,1,B-,31,1,B,29,1,A-,31,1,A,32,1,3.34,3.243333333,1
Male,2,Yes,No,No,B,28,1,B,26,1,B-,29,1,A,28,1,C+,30,1,A-,29,1,B+,28,1,B+,27,1,3.06,3.09,1
Male,3,No,No,Yes,B+,21,1,A+,19,1,B,23,1,A+,22,1,B-,23,1,B,21,1,A-,23,1,A,22,1,3.36,2.886666667,1
Male,1,No,Yes,Yes,B,31,1,A+,30,1,B-,32,1,A,31,1,B-,30,1,B+,31,1,A-,32,1,A,30,1,3.32,3.348333333,1
Male,5,No,No,No,B,27,1,A-,28,1,B-,26,1,A+,27,1,C,29,1,B-,27,1,B+,28,1,A,26,1,3.05,3.01,1
Male,2,No,No,No,B,30,1,A,31,1,B,29,1,A,32,1,C-,31,1,A-,30,1,B,31,1,B+,30,1,3.02,2.483333333,0
Male,less than 1 hour,Yes,No,Yes,B-,24,1,A,23,1,B+,22,1,B+,24,1,C,23,1,B,22,1,B+,23,1,B,22,1,2.91,2.67,1
Male,3,No,No,No,C+,28,1,A-,30,1,C+,27,1,A+,29,1,C-,28,1,B,30,1,B+,29,1,B-,28,1,2.63,3.096666667,0
Female,6,No,No,No,A+,23,1,A-,22,1,A,21,1,A+,24,1,B-,22,1,A+,21,1,A,23,1,A+,21,1,3.71,3.603333333,1
Male,1,No,No,Yes,C,32,1,B+,30,1,C,31,1,A-,32,1,D+,31,1,C,30,1,B,32,1,C,31,1,2.13,2.768333333,0
Male,6,No,No,No,C+,26,1,C,24,1,C-,25,1,B+,28,1,C,26,1,C,27,1,C+,26,1,C,28,1,2.11,2.501666667,0
Male,6,No,No,Yes,B,31,1,A,30,1,C+,32,1,A+,30,1,C+,31,1,B,32,1,B+,30,1,B,29,1,2.92,3.2,1
Female,6,No,No,Yes,A-,27,1,B-,28,1,B+,26,1,A+,27,1,B+,29,1,A+,26,1,A,28,1,A+,27,1,3.64,3.541666667,1
Female,1,Yes,No,Yes,B-,29,1,B+,31,1,C,30,1,A+,31,1,C+,30,1,A-,31,1,B+,30,1,B-,31,1,2.83,2.973333333,1
Female,6,No,Yes,No,B,26,1,B+,27,1,B-,25,1,A+,28,1,C,27,1,A,28,1,B,26,1,B,25,1,2.98,3.123333333,1
Male,3,Yes,No,Yes,A-,31,1,A-,30,1,A-,31,1,A+,32,1,C,31,1,A+,30,1,A-,32,1,A-,31,1,3.42,3.591666667,1
Female,2,No,Yes,No,A-,25,1,A-,24,1,A,23,1,A+,26,1,B,25,1,A+,23,1,A+,25,1,A-,24,1,3.68,3.441666667,1
Female,5,No,No,Yes,B+,20,1,B+,18,1,C,21,1,A+,23,1,B-,22,1,A-,20,1,B,21,1,A,19,1,3.22,3.215,1
Male,6,No,No,No,B+,31,1,A,32,1,B-,30,1,A+,31,1,C+,30,1,A-,32,1,B,31,1,A,30,1,3.29,3.215,1
Male,4,Yes,No,Yes,B,24,1,A-,25,1,B-,22,1,A+,23,1,C,24,1,B,23,1,B,24,1,A,22,1,3.07,2.711666667,1
Female,4,No,No,No,A,28,1,B+,31,1,B-,30,1,A+,28,1,B-,29,1,A+,31,1,B+,30,1,A+,29,1,3.47,3.175,1
Male,3,No,Yes,No,C-,32,1,B+,31,1,C,32,1,A-,31,1,D,32,1,C,31,1,B-,30,1,C,31,1,2,2.515,0
Male,4,No,No,Yes,C+,22,1,B+,23,1,C,21,1,A,22,1,C-,23,1,D+,24,1,B-,21,1,C-,23,1,2.09,2.738333333,0
Male,3,Yes,No,No,C,31,1,B+,32,1,C-,30,1,A+,32,1,C-,31,1,D+,32,1,B-,30,1,C-,31,1,2.01,2.401666667,0
Female,5,No,No,No,B-,25,1,A-,24,1,B-,23,1,A+,26,1,B-,25,1,B+,26,1,B+,24,1,A,25,1,3.23,3.503333333,1
Female,4,Yes,No,No,C+,30,1,B,31,1,C+,30,1,A+,29,1,C-,30,1,B-,31,1,B,30,1,B,32,1,2.58,2.913333333,0
Male,4,No,No,No,B,26,1,A-,28,1,B-,25,1,A+,27,1,C,29,1,A-,28,1,A,27,1,B,25,1,3.03,3.1,1
Female,2,Yes,No,No,B,29,1,B-,30,1,C+,31,1,A+,30,1,C,29,1,C,30,1,B,29,1,B-,30,1,2.56,2.941666667,1
Male,6,No,No,No,B-,23,1,B,24,1,C+,22,1,A,23,1,C-,22,1,A-,24,1,B,23,1,B+,22,1,2.83,2.173333333,0
Male,less than 1 hour,Yes,No,Yes,B+,30,1,A,31,1,B-,29,1,A+,31,1,B-,30,1,A+,32,1,A+,30,1,A+,32,1,3.47,3.038333333,1
