Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO1221,CO1221_CA,CO1221_attendance,CO1222,CO1222_CA,CO1222_attendance,CO1212,CO1212_CA,CO1212_attendance,CO1223,CO1223_CA,CO1223_attendance,CO1213,CO1213_CA,CO1213_attendance,CO1224,CO1224_CA,CO1224_attendance,CO1214,CO1214_CA,CO1214_attendance,CO1225,CO1225_CA,CO1225_attendance,CO1226,CO1226_CA,CO1226_attendance,2sem_gpa,1st_sem_GPA,2sem_pass/fail
Male,5,No,No,No,D+,22,1,C-,19,1,B,24,1,B+,21,1,A+,23,1,C,16,1,C+,23,1,C+,22,1,C-,21,1,2.26,3.13,0
Male,2,No,No,No,ab,30,1,D,29,1,B-,31,1,C+,30,1,A-,31,1,D,29,1,B-,31,1,D+,31,1,D,30,1,1.49,3.33,0
Male,less than 1 hour,Yes,No,Yes,ab,18,0,D+,14,1,B,20,1,B,16,1,A-,19,1,C-,12,1,B-,19,1,C-,18,1,C-,17,1,1.88,3.29,0
Male,3,No,No,No,C-,29,1,B,28,1,A-,31,1,A-,29,1,A,31,1,C+,28,1,B+,31,1,B-,30,1,C+,31,1,2.83,3.31,0
Female,6,No,No,No,B,24,1,B,21,1,B+,26,1,A-,23,1,A+,26,1,B,19,1,ab,26,0,A-,25,1,B,24,1,3.07,3.02,1
Male,1,No,No,Yes,E,28,1,ab,26,0,ab,30,0,B,28,1,B+,30,1,C-,26,1,A,30,1,C+,28,1,C-,29,1,1.65,3.43,0
Male,6,No,No,No,D,29,1,ab,27,0,ab,31,0,B-,29,1,C-,31,1,D+,28,1,C-,31,1,ab,30,0,C-,31,1,1.12,3.57,0
Male,6,No,No,Yes,C+,31,1,C+,29,1,A-,32,1,A-,30,1,A+,31,1,C+,29,1,A,32,1,C+,31,1,C+,32,1,2.81,3.55,1
Female,6,No,No,Yes,B,19,1,C+,15,1,A-,20,1,A,17,1,A,19,1,B+,13,1,A-,20,1,B-,18,1,A-,19,1,3.29,3.51,1
Female,1,Yes,No,Yes,D+,29,1,D,28,1,B+,31,1,B,29,1,A+,30,1,C,28,1,B,31,1,C,30,1,C+,31,1,2.23,3.37,0
Female,6,No,Yes,No,D+,24,1,ab,22,0,ab,27,0,A-,24,1,A+,27,1,C,20,1,A-,27,1,B-,25,1,C+,26,1,2.11,3.19,0
Male,3,Yes,No,Yes,C+,31,1,B,30,1,A-,32,1,A-,30,1,A+,32,1,C+,29,1,B-,32,1,B,31,1,B,32,1,3,3.56,1
Female,2,No,Yes,No,B,26,1,B-,24,1,B+,29,1,A,26,1,A+,28,1,B+,23,1,A+,29,1,B,27,1,B,28,1,3.29,3.26,1
Female,5,No,No,Yes,C+,20,1,ab,17,0,ab,23,1,A,19,1,A+,22,1,C,15,1,A-,22,1,B,21,1,B,20,1,2.42,3.41,0
Male,6,No,No,No,C-,28,1,C+,26,1,A-,30,1,A+,27,1,A+,30,1,C+,26,1,A,29,1,B-,28,1,B-,29,1,2.87,3.62,0
Male,4,Yes,No,Yes,D,30,1,E,28,1,B-,31,1,E,29,1,B-,32,1,E,28,1,C -,31,1,C,30,1,D,31,1,1.01,3.47,0
Female,4,No,No,No,C+,25,1,ab,22,0,ab,27,0,A-,24,1,A-,27,1,B,20,1,B,26,1,C+,26,1,B+,25,1,2.39,3.21,0
Male,3,No,Yes,No,D+,31,1,E,29,1,B-,32,1,B,30,1,B-,32,1,D+,29,1,C+,32,1,C+,31,1,D+,31,1,1.74,3.49,0
Male,4,No,No,Yes,D,28,1,ab,26,0,ab,30,0,B+,27,1,B+,30,1,C- ,26,1,B+,29,1,C+,28,1,D,29,1,1.68,3.7,0
Male,3,Yes,No,No,D+,23,1,ab,20,0,ab,25,0,C+,22,1,B,25,1,D+,18,1,B-,24,1,C-,23,1,B+,22,1,1.7,3.15,0
Female,5,No,No,No,C+,29,1,B-,28,1,B,31,1,A-,29,1,A-,31,1,B-,28,1,A,31,1,B+,30,1,B+,31,1,3.11,3.23,1
Female,4,Yes,No,No,C-,26,1,D,23,1,ab,28,0,B,25,1,A-,27,1,C-,21,1,C+,28,1,C+,26,1,C+,27,1,2,3.77,0
Male,4,No,No,No,C,30,1,ab,28,1,ab,32,0,A-,30,1,A,31,1,C+,28,1,B+,32,1,B,30,1,C+,31,1,2.26,3.71,0
Female,2,Yes,No,No,C+,27,1,ab,24,0,ab,28,1,A-,26,1,B,28,1,C,23,1,C,29,1,C,27,1,B-,28,1,2.03,3.37,0
Male,6,No,No,No,ab,19,0,ab,14,0,ab,21,0,ab,16,0,ab,21,0,D+,12,1,ab,21,0,C+,19,1,E,18,1,0.48,3.44,0
Male,less than 1 hour,Yes,No,Yes,ab,28,0,C-,26,1,A-,31,1,A+,28,1,A+,30,1,B-,27,1,A+,30,1,B,29,1,B+,30,1,2.74,3.17,0
Female,3,No,No,Yes,C,31,1,D,29,1,B-,32,1,B+,30,1,A,32,1,C,28,1,B-,32,1,C+,31,1,C+,31,1,2.35,2.64,0
Male,4,No,No,No,E,21,1,D,16,1,C+,22,1,D,18,1,C-,22,1,D,14,1,C,22,1,C-,20,1,D+,21,1,1.2,3.71,0
Male,3,No,No,No,D+,30,1,D+,28,1,B+,31,1,B+,29,1,A+,31,1,C+,28,1,C+,31,1,D+,30,1,B-,31,1,2.27,3.21,0
Male,2,No,Yes,No,D+,23,1,D,19,1,B-,25,1,D+,22,1,C+,25,1,D+,17,1,B-,24,1,C -,23,1,D,22,1,1.53,3.71,0
Male,5,No,No,No,D+,28,1,E,26,1,C,30,1,B,27,1,A-,29,1,D+,26,1,C,29,1,C -,28,1,C+,29,1,1.79,3.64,0
Male,3,No,No,No,ab,31,0,E,29,1,ab,32,0,C,30,1,C+,32,1,D,29,1,C-,32,1,C-,31,1,D+,31,1,1.07,3.44,0
Male,2,Yes,No,No,E,22,1,ab,16,0,ab,20,0,B-,18,1,C-,22,1,E,14,1,ab,21,1,D+,20,1,D+,19,1,0.82,3.8,0
Male,1,Yes,No,Yes,ab,28,0,ab,25,0,ab,29,0,ab,26,0,ab,29,1,E,23,1,ab,29,0,ab,28,0,E,28,1,0,3.12,0
Male,3,No,No,No,A-,25,1,A-,26,1,A+,24,1,C-,25,1,A+,26,1,B+,25,1,A+,24,1,A,25,1,C-,26,1,3.08,3.83,0
Male,2,No,No,No,A-,20,1,B-,21,1,A+,19,1,B,20,1,A+,21,1,B+,20,1,A+,19,1,A,20,1,B+,21,1,3.47,3.69,1
Male,4,No,No,No,A,30,1,C,29,1,A-,31,1,B,30,1,A+,31,1,B-,30,1,A-,29,1,A,30,1,A,31,1,3.39,3.63,1
Male,3,No,Yes,No,A+,24,1,B+,25,1,A,23,1,A+,24,1,A+,25,1,A-,24,1,A+,25,1,A-,26,1,A,25,1,3.83,3.82,1
Female,5,Yes,No,No,B+,27,1,C-,28,1,A+,26,1,B-,27,1,A+,28,1,B,27,1,A-,26,1,B,27,1,A-,28,1,3.1,3.37,1
Male,3,Yes,No,Yes,A+,22,1,B,23,1,A+,21,1,A,22,1,A+,23,1,A,22,1,A+,21,1,A+,22,1,A-,23,1,3.83,4,1
Male,2,No,Yes,No,A,29,1,B+,28,1,A+,30,1,B,29,1,A+,30,1,B,29,1,A+,28,1,A-,29,1,B,30,1,3.47,0,1
Male,less than 1 hour,Yes,Yes,Yes,B,31,1,B+,30,1,A,29,1,A-,31,1,A,30,1,B,31,1,A+,30,1,A-,29,1,B,31,1,3.43,3.77,1
Female,6,No,No,No,B,26,1,C,27,1,A,25,1,C+,26,1,A+,27,1,B-,26,1,B+,25,1,B-,26,1,B,27,1,2.85,3.53,1
Male,less than 1 hour,Yes,Yes,Yes,A,28,1,B+,29,1,A+,27,1,B+,28,1,A+,29,1,A-,28,1,A+,27,1,A,28,1,B,29,1,3.64,2.96,1
Female,6,No,No,Yes,A+,20,1,B,19,1,A,21,1,A,20,1,A+,19,1,A,20,1,A+,21,1,A-,20,1,A-,19,1,3.79,3.69,1
Male,5,Yes,No,No,C+,30,1,C,29,1,B+,31,1,C+,30,1,B+,31,1,B-,30,1,A,29,1,B,30,1,B+,31,1,2.79,4,1
Male,3,Yes,No,Yes,B,23,1,C-,24,1,B+,22,1,C+,23,1,B,24,1,C+,23,1,B+,22,1,B,23,1,B,24,1,2.68,3.06,0
Male,4,No,No,Yes,C+,25,1,D+,26,1,B+,24,1,C+,25,1,B,26,1,C,25,1,A,24,1,C+,25,1,B+,26,1,2.49,3.47,0
Female,1,Yes,No,No,C+,29,1,D+,28,1,B,30,1,E,29,1,C,30,1,D,29,1,B,28,1,C,29,1,B,30,1,1.81,3.24,0
Male,1,No,No,Yes,B,24,1,B+,25,1,A-,23,1,B-,24,1,A-,25,1,B+,24,1,A,25,1,A-,26,1,B+,25,1,3.33,0,1
Female,3,Yes,No,No,A,30,1,C,29,1,A,31,1,B-,30,1,B,31,1,B+,30,1,A+,29,1,B,30,1,A-,31,1,3.23,3.63,1
Female,6,Yes,No,Yes,A+,22,1,A,21,1,B+,20,1,A,21,1,A,22,1,A+,21,1,A+,20,1,A+,21,1,A,20,1,3.95,3.77,1
Male,less than 1 hour,Yes,Yes,Yes,C-,28,1,ab,29,0,ab,27,0,D,28,1,C+,29,1,D,28,1,ab,27,0,C-,28,1,B+,29,1,1.31,3.98,0
Female,3,No,No,Yes,B,30,1,C,29,1,B,31,1,C-,30,1,B+,29,1,C,30,1,B+,31,1,B-,30,1,B,31,1,2.56,0.09,0
Male,4,Yes,No,No,B+,26,1,B,25,1,B+,27,1,B,26,1,A,25,1,B-,26,1,A+,27,1,B+,26,1,B+,25,1,3.23,2.35,1
Female,2,No,No,No,A,29,1,B-,28,1,A,30,1,B,29,1,A,30,1,B,29,1,B+,28,1,B+,29,1,A-,30,1,3.38,3.75,1
Female,less than 1 hour,Yes,No,No,B,25,1,C-,26,1,B,24,1,C+,25,1,B,26,1,C+,25,1,B+,24,1,A+,25,1,A-,26,1,2.89,3.57,0
Female,4,No,No,No,B,21,1,C-,20,1,A,22,1,B-,21,1,B+,20,1,B-,21,1,A,20,1,B,21,1,A,20,1,3.03,3.27,0
Male,3,Yes,No,No,C,30,1,C-,29,1,B,31,1,E,30,1,B,31,1,D,30,1,B-,29,1,B,30,1,B-,31,1,1.97,3.28,0
Male,less than 1 hour,No,No,Yes,C+,23,1,E,24,1,B,22,1,C-,23,1,B-,24,1,C+,23,1,B,22,1,B,23,1,B,24,1,2.22,2.39,0
Male,1,No,No,Yes,A,29,1,C,30,1,B-,28,1,A-,29,1,B+,30,1,A-,29,1,A+,28,1,A,29,1,B-,30,1,3.35,2.87,1
Male,3,No,No,No,B,28,1,D+,29,1,A-,27,1,C+,28,1,A+,29,1,B-,28,1,A,29,1,B+,28,1,B+,29,1,2.9,2.24,0
Female,4,No,No,No,B+,24,1,B-,25,1,B,23,1,B,24,1,B+,25,1,C+,24,1,A,25,1,B,26,1,B+,25,1,3.03,3.34,1
Male,2,No,Yes,Yes,B-,30,1,ab,29,0,C+,31,1,C,30,1,C+,31,1,ab,30,0,ab,29,0,B-,30,1,C,31,1,1.56,3.25,0
Female,3,Yes,No,No,B+,27,1,B-,28,1,A+,26,1,B+,27,1,A+,28,1,B+,27,1,A+,26,1,B+,27,1,B+,28,1,3.36,1.49,1
Male,2,No,No,No,C+,30,1,E,29,1,B+,31,1,C,30,1,C,29,1,ab,30,0,ab,31,0,B+,30,1,B,31,1,1.78,3.55,0
Male,5,No,No,No,C-,26,1,C,25,1,B+,27,1,E,26,1,A-,25,1,C,26,1,A+,27,1,B+,26,1,B+,25,1,2.37,2.13,0
Male,2,No,No,No,C,29,1,C-,28,1,B+,30,1,C,29,1,A+,30,1,C,29,1,B+,28,1,C+,29,1,B+,30,1,2.48,2.77,0
Male,6,No,No,Yes,B-,22,1,C,21,1,A-,20,1,C,21,1,A,22,1,B+,21,1,B,20,1,B,21,1,A-,20,1,2.94,2.54,1
Male,less than 1 hour,No,Yes,No,B-,30,1,E,29,1,C+,31,1,C,30,1,A,31,1,D+,30,1,B+,29,1,C+,30,1,ab,31,0,1.75,0.64,0
Male,2,Yes,No,No,C+,28,1,C,29,1,B+,27,1,C,28,1,A-,29,1,B-,28,1,B+,29,1,B,28,1,B,29,1,2.69,2.44,1
Male,3,No,Yes,No,C+,25,1,D,26,1,E,24,1,D,25,1,C,26,1,B-,25,1,B-,24,1,B,25,1,B+,26,1,2.08,3.09,0
Male,2,Yes,No,Yes,B,21,1,D+,20,1,B-,22,1,C,21,1,B,20,1,C-,21,1,A,20,1,C,21,1,B,20,1,2.38,2.27,0
Male,4,No,No,No,B,30,1,D+,29,1,D,31,1,C-,30,1,A,31,1,B,30,1,ab,29,0,B,30,1,B,31,1,2.33,2.46,0
Male,4,No,No,Yes,B+,29,1,B,30,1,D+,28,1,B,29,1,A+,30,1,B+,29,1,A+,28,1,B+,29,1,A,30,1,3.27,2.49,0
