Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO1121,CO1121_CA,CO1121_attendance,CO1122,CO1122_CA,CO1122_attendance,CO1112,CO1112_CA,CO1112_attendance,CO1123,CO1123_CA,CO1123_attendance,CO1124,CO1124_CA,CO1124_attendance,CO1114,CO1114_CA,CO1114_attendance,CO1125,CO1125_CA,CO1125_attendance,CO1115,CO1115_CA,CO1115_attendance,CO1126,CO1126_CA,CO1126_attendance,1sem_gpa,pre_sem_GPA,1sem_pass/fail
Male,less than 1 hour,Yes,Yes,Yes,A,28,1,A,27,1,A+,29,1,A+,28,1,A+,27,1,A+,28,1,A,29,1,A+,28,1,C+,27,1,3.77,0,1
Female,6,No,No,No,B+,23,1,A,24,1,A+,22,1,A+,23,1,A+,24,1,A,23,1,A+,22,1,A-,23,1,D+,24,1,3.53,0,0
Male,less than 1 hour,Yes,Yes,Yes,A,30,1,C,29,1,C+,31,1,A+,30,1,B,31,1,C,30,1,A-,29,1,B+,30,1,C-,31,1,2.96,0,0
Female,6,No,No,Yes,A-,26,1,A+,25,1,A+,24,1,A+,26,1,A+,25,1,A+,26,1,B+,25,1,A+,26,1,B-,25,1,3.69,0,1
Male,5,Yes,No,No,A+,27,1,A,28,1,A+,26,1,A+,27,1,A+,28,1,A+,27,1,A+,26,1,A,27,1,A+,28,1,4,0,1
Male,3,Yes,No,Yes,A-,24,1,B-,25,1,A+,23,1,A+,24,1,A-,25,1,B,24,1,C,23,1,B+,24,1,C-,25,1,3.06,0,0
Male,4,No,No,Yes,A,30,1,A-,29,1,A+,31,1,A-,30,1,A+,29,1,B-,30,1,B+,31,1,A,30,1,C,29,1,3.47,0,1
Female,1,Yes,No,No,A+,28,1,B-,29,1,B,27,1,A,28,1,B+,29,1,A-,28,1,A,29,1,B+,28,1,D+,29,1,3.24,0,0
Male,1,No,No,Yes,ab,31,0,ab,30,0,ab,29,0,ab,31,0,ab,30,0,ab,31,0,ab,30,0,ab,29,0,ab,31,0,0,0,0
Female,3,Yes,No,No,A,22,1,A-,21,1,A+,20,1,A,22,1,A+,21,1,A+,22,1,A,20,1,A-,22,1,C-,21,1,3.63,0,0
Female,6,Yes,No,Yes,A+,26,1,A,25,1,A,27,1,A+,26,1,A-,25,1,A-,26,1,A+,25,1,A+,26,1,B-,25,1,3.77,0,1
Male,less than 1 hour,Yes,Yes,Yes,A+,29,1,A+,30,1,A+,28,1,A+,29,1,A+,30,1,A-,29,1,A+,30,1,A+,29,1,A+,30,1,3.98,0,1
Female,3,No,No,Yes,ab,20,0,ab,21,0,ab,19,0,ab,20,0,ab,21,0,D+,20,1,ab,19,0,ab,20,0,ab,21,0,0.09,0,0
Male,4,Yes,No,No,A-,30,1,C-,29,1,B-,31,1,A-,30,1,B-,31,1,C+,30,1,C+,29,1,C,30,1,E,31,1,2.35,0,0
Female,2,No,No,No,A+,27,1,A+,28,1,A+,26,1,A+,27,1,A,28,1,A+,27,1,A+,26,1,A-,27,1,C+,28,1,3.75,0,1
Female,less than 1 hour,Yes,No,No,A+,31,1,B,30,1,A+,29,1,A+,31,1,A,30,1,B+,31,1,A+,30,1,A-,29,1,C+,31,1,3.57,0,1
Female,4,No,No,No,A,29,1,B,28,1,B,30,1,A,29,1,A-,30,1,B+,29,1,B-,28,1,B+,29,1,C+,30,1,3.27,0,1
Male,3,Yes,No,No,A+,24,1,B+,25,1,A+,23,1,A+,24,1,B+,25,1,C,24,1,A,25,1,A,26,1,D,25,1,3.28,0,0
Male,less than 1 hour,No,No,Yes,A-,26,1,C+,25,1,C,24,1,A-,26,1,B-,25,1,ab,26,0,B,27,1,B,26,1,E,25,1,2.39,0,0
Male,1,No,No,Yes,A,22,1,C,21,1,B+,20,1,A+,22,1,B,21,1,C+,22,1,B-,20,1,A,22,1,D,21,1,2.87,0,0
Male,3,No,No,No,ab,30,0,B,29,1,B+,31,1,ab,30,0,A+,31,1,B+,30,1,B-,29,1,B,30,1,C+,31,1,2.24,0,0
Female,4,No,No,No,A+,28,1,B-,29,1,B-,27,1,A+,28,1,A+,29,1,A+,28,1,A+,29,1,A+,28,1,D,29,1,3.34,0,0
Male,2,No,Yes,Yes,A-,25,1,C,26,1,A+,24,1,A,25,1,A-,26,1,B+,25,1,A,24,1,B+,25,1,C-,26,1,3.25,0,0
Female,3,Yes,No,No,ab,30,0,C,29,1,B,31,1,B,30,1,A-,29,1,C,30,1,ab,31,0,ab,30,0,ab,31,0,1.49,0,0
Male,2,No,No,No,A,24,1,B+,25,1,A+,23,1,A-,24,1,A+,25,1,A,24,1,B+,25,1,A,26,1,C+,25,1,3.55,0,1
Male,5,No,No,No,B-,27,1,ab,28,1,ab,26,1,A,27,1,B,28,1,B-,27,1,B+,26,1,B+,27,1,ab,28,0,2.13,0,0
Male,2,No,No,No,B-,31,1,B+,30,1,A+,29,1,B-,31,1,A+,30,1,A-,31,1,B-,30,1,B,29,1,E,31,1,2.77,0,0
Male,6,No,No,Yes,B,26,1,C,25,1,B-,27,1,A-,26,1,B-,25,1,B-,26,1,B+,27,1,B+,26,1,E,25,1,2.54,0,0
Male,less than 1 hour,No,Yes,No,ab,28,0,ab,29,0,ab,27,0,ab,28,0,B+,29,1,B,28,1,ab,29,0,ab,28,0,ab,29,0,0.64,0,0
Male,2,Yes,No,No,C+,30,1,B,29,1,A,31,1,C+,30,1,B+,31,1,A-,30,1,C-,29,1,A-,30,1,ab,31,0,2.44,0,0
Male,3,No,Yes,No,A+,22,1,C+,21,1,C-,20,1,A+,22,1,A-,21,1,C,22,1,A+,20,1,B+,22,1,C-,21,1,3.09,0,0
Male,2,Yes,No,Yes,C,30,1,ab,29,0,ab,31,1,A-,30,1,A+,29,1,C,30,1,A-,31,1,B+,30,1,D,31,1,2.27,0,0
Male,4,No,No,No,B+,29,1,C-,28,1,C+,30,1,B+,29,1,B,30,1,B,29,1,B,28,1,B,29,1,E,30,1,2.46,0,1
Male,4,No,No,Yes,B-,25,1,C+,26,1,C+,24,1,A,25,1,B+,26,1,B,25,1,C-,24,1,A,25,1,E,26,1,2.49,0,0
Male,less than 1 hour,Yes,Yes,Yes,A+,24,1,A-,25,1,A+,23,1,A+,24,1,A+,25,1,B+,24,1,A,25,1,A,26,1,C+,25,1,3.69,0,1
Male,2,No,No,Yes,A,30,1,A-,29,1,A+,31,1,A+,30,1,A,31,1,B+,30,1,A-,29,1,A+,30,1,B,31,1,3.74,0,1
Male,less than 1 hour,Yes,No,No,A-,28,1,C-,29,1,ab,27,0,A+,28,1,B-,29,1,C+,28,1,B+,29,1,A-,28,1,C-,29,1,2.68,0,0
Male,3,No,No,No,B,22,1,ab,21,0,ab,20,0,C,22,1,B,21,1,D+,22,1,ab,20,0,ab,22,0,ab,21,0,1.15,0,0
