Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO2121,CO2121_CA,CO2121_attendance,CO2122,CO2122_CA,CO2122_attendance,CO2112,CO2112_CA,CO2112_attendance,CO2123,CO2123_CA,CO2123_attendance,CO2124,CO2124_CA,CO2124_attendance,CO2114,CO2114_CA,CO2114_attendance,CO2125,CO2125_CA,CO2125_attendance,CO2115,CO2115_CA,CO2115_attendance,CO2126,CO2126_CA,CO2126_attendance,3sem_gpa,2nd_sem_GPA,3sem_pass/fail
Female,more than 6 hours,No,No,Yes,B+,30,1,B+,30,1,A+,32,1,A,30,1,B-,31,1,A+,29,1,A+,32,1,B+,30,1,A,32,1,3.59,3.39,1
Female,5,No,No,No,A+,22,1,A+,15,1,A+,20,1,A+,18,1,B-,22,1,A,14,1,A+,21,1,A+,19,1,A,20,1,3.83,2.02,1
Female,3,Yes,No,Yes,A-,27,1,B-,26,1,A,28,1,A-,27,1,B-,29,1,A,24,1,B+,29,1,B+,28,1,A,28,1,3.43,2.57,1
Male,3,No,Yes,No,B+,30,1,B+,29,1,A+,32,1,B,30,1,B-,32,1,A+,28,1,A,31,1,A-,31,1,A,32,1,3.49,2.67,1
Male,1,No,Yes,Yes,B,25,1,E,23,1,ab,27,0,C,22,1,C,26,1,B+,21,1,ab,26,0,A+,25,1,ab,25,0,1.42,2.01,0
Male,4,Yes,No,No,B+,20,1,C,16,1,A,21,1,B,15,1,C,21,1,A-,13,1,B-,22,1,B+,20,1,B+,19,1,2.91,2.47,1
Female,4,No,No,Yes,B+,30,1,B-,28,1,B+,31,1,B,30,1,B-,32,1,A-,29,1,C+,32,1,A-,31,1,A-,30,1,3.07,2.76,1
Male,4,No,No,No,A-,28,1,D+,24,1,A+,27,1,ab,25,0,D+,29,1,A,22,1,B+,28,1,B+,27,1,B+,27,1,2.47,3.305,0
Male,less than 1 hour,Yes,Yes,No,A,26,1,B+,21,1,A+,25,1,B+,23,1,B-,26,1,A-,18,1,A+,26,1,B+,25,1,A,25,1,3.57,2.99,1
Male,2,Yes,No,No,A-,30,1,C-,29,1,B+,31,1,B-,30,1,B,32,1,B+,28,1,B+,32,1,C,30,1,B+,32,1,2.93,2.52,0
Male,3,No,No,Yes,A-,29,1,D+,26,1,A,28,1,C,28,1,B-,29,1,A-,25,1,B-,30,1,B,29,1,B+,28,1,2.81,2.29,0
Male,1,No,Yes,Yes,B,24,1,A-,18,1,A+,23,1,B+,20,1,B-,24,1,A-,15,1,A,23,1,A-,24,1,B,21,1,3.39,2.96,1
Male,5,No,No,No,A-,30,1,C,28,1,A+,31,1,C+,29,1,B,31,1,A-,28,1,A-,32,1,A-,30,1,B,30,1,3.12,2.695,1
