Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO2221,CO2221_CA,CO2221_attendance,CO2222,CO2222_CA,CO2222_attendance,CO2212,CO2212_CA,CO2212_attendance,CO2223,CO2223_CA,CO2223_attendance,CO2213,CO2213_CA,CO2213_attendance,CO2224,CO2224_CA,CO2224_attendance,CO2214,CO2214_CA,CO2214_attendance,CO2225,CO2225_CA,CO2225_attendance,CO2226,CO2226_CA,CO2226_attendance,4sem_gpa,3rd_sem_GPA,4sem_pass/fail
Female,2,Yes,No,Yes,B+,30,1,B,31,1,B+,32,1,A,25,1,B+,28,1,A-,27,1,B+,30,1,B,28,1,A,28,1,3.46,3.063333333,1
Male,3,No,No,Yes,A,31,1,B+,23,1,B,29,1,B+,29,1,A,30,1,A+,22,1,A,31,1,A,30,1,A-,31,1,3.71,2.716666667,1
Female,5,No,No,No,A-,28,1,A,26,1,A,30,1,B+,25,1,B+,26,1,A-,15,1,A,29,1,B,26,1,B+,27,1,3.55,3.446666667,1
Male,less than 1 hour,Yes,No,Yes,B+,23,1,B,17,1,B,26,1,A+,19,1,B,25,1,A-,20,1,B+,26,1,A,24,1,A,23,1,3.55,2.55,1
Male,3,No,No,Yes,A,27,1,B+,24,1,A,29,1,A,28,1,B,27,1,A,27,1,A,31,1,A,28,1,A,30,1,3.84,2.536666667,1
Male,1,No,Yes,No,B+,30,1,A+,21,1,A,28,1,A,25,1,A-,29,1,B+,23,1,A+,28,1,A-,29,1,A,26,1,3.75,3.166666667,1
Male,4,No,No,No,A,25,1,B,22,1,B+,27,1,B+,20,1,B,21,1,A,24,1,A,27,1,A-,22,1,B+,25,1,3.53,2.91,1
Male,5,No,No,No,A+,29,1,B,29,1,A,28,1,A+,25,1,A,26,1,A-,30,1,A+,30,1,B,26,1,A,28,1,3.69,2.836666667,1
Male,more than 6 hours,No,No,Yes,B,30,1,A-,24,1,A,31,1,A+,29,1,A,27,1,A+,27,1,B,28,1,A-,31,1,A,30,1,3.72,3.23,1
Male,6,No,No,No,B+,24,1,B+,20,1,A+,25,1,B,18,1,A,21,1,A-,14,1,A+,26,1,A,23,1,B,22,1,3.51,2.896666667,1
Male,2,Yes,No,Yes,A,28,1,A-,28,1,B+,29,1,A+,24,1,A,26,1,A+,22,1,A+,28,1,A+,26,1,A,29,1,3.91,3.28,1
Female,more than 6 hours,No,No,Yes,A+,30,1,A+,19,1,A+,27,1,A,27,1,B+,28,1,A+,18,1,A,29,1,B+,27,1,A,27,1,3.86,3.456666667,1
Female,5,No,No,No,A,32,1,A+,30,1,A,31,1,A+,30,1,A,31,1,A,29,1,A,32,1,A,30,1,A+,31,1,4,2.623333333,1
Female,3,Yes,No,Yes,A-,29,1,A+,26,1,B+,27,1,A,24,1,A+,26,1,A,17,1,A+,28,1,B+,26,1,A+,23,1,3.82,2.856666667,1
